id,name,host_id,location_id,number_of_reviews,occupancy,price,room_type,host_listings_count
27060,"ALL YOURS FULL APARTMENT
2 BDM 2 BTH East Village!",27636450,27059,2,365,250,Entire home/apt,2
27061,"Beautiful,spacious and sunny one bedroom apartment",154306881,27060,2,365,120,Entire home/apt,1
27062,Spacious Studio in the City close to all!,155148052,27061,45,351,139,Entire home/apt,1
27063,Chic room in a clean and cozy apartment,35662919,27062,1,365,100,Private room,1
27064,Elmhurst整套豪华公寓,125492013,27063,0,365,90,Entire home/apt,2
27065,Morden Corner Lux Apartment w/ River & City view,22223682,27064,2,0,150,Private room,1
27066,Chelsea Cabins (NYC),117365574,27065,97,56,82,Private room,5
27067,A Garden Suite - Mott Haven Townhouse Studio,155171571,27066,32,359,125,Entire home/apt,1
27068,Recently renovated 2 bedroom apartment in midtown,42784981,27067,1,365,350,Entire home/apt,1
27069,New!! Cozy full equipped room in Times Square,155182192,27068,108,300,40,Private room,1
27070,Gorgeous Green Premium Suite! (Brooklyn),25036260,27069,34,158,80,Private room,3
27071,A cozy room for the holidays in Brooklyn,155200301,27070,1,365,40,Private room,2
27072,Private room in apartment in LIC,3711407,27071,14,365,85,Entire home/apt,1
27073,Iconic Apartment in Times Square Steps to Broadway,143555138,27072,85,193,185,Entire home/apt,1
27074,THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES,155255550,27073,126,131,215,Entire home/apt,1
27075,"Bedroom 5 min away from E, 7, F, M, R trains!",106766048,27074,12,365,45,Private room,1
27076,Beautiful 2 Bedroom near Brooklyn Museum!,144195040,27075,29,230,150,Entire home/apt,1
27077,Large private room 7 min to LGA 15min to Manhattan,153524812,27076,114,46,65,Private room,1
27078,Peaceful 1 Bedroom in the East Village,10391716,27077,68,324,190,Entire home/apt,1
27079,Private room in convenient East Harlem location,6105242,27078,1,310,60,Private room,1
27080,Spacious Studio in the Lower East Side,6388732,27079,16,363,175,Entire home/apt,1
27081,Beautiful Space in Duplex Loft Close Prospect Park,4414774,27080,13,365,60,Shared room,1
27082,Bright Airy 1 Bedroom Studio in Prime Downtown NYC,683457,27081,1,365,250,Entire home/apt,1
27083,STUNNING NYC VIEWS! New Jersey 15 min Times Square,154949847,27082,66,65,288,Entire home/apt,2
27084,Gorgeous Clinton Hill Brooklyn 1BR Garden Apt,109909474,27083,93,300,100,Entire home/apt,1
27085,Adorable room in AMAZING Chelsea apartment!,155318905,27084,2,365,95,Private room,1
27086,Awesome Oasis! 3 stops Away from Manhattan!!!,134428157,27085,1,365,50,Private room,7
27087,LES Duplex Penthouse with Private Rooftop Terrace,16794494,27086,9,365,200,Private room,1
27088,Beautiful spacious duplex in Bed Stuy Brooklyn,122044489,27087,39,235,110,Entire home/apt,2
27089,Magical Space w/Incredible Cozy Energy,122374980,27088,90,288,60,Shared room,4
27090,Times Square Room with access to a Terrace,382836,27089,18,0,143,Private room,4
27091,Colorful & cozy studio in Brooklyn,11908891,27090,2,365,97,Entire home/apt,1
27092,Marriott Vacation Club Pulse - King Room,19809273,27091,0,187,350,Entire home/apt,1
27093,Modern Harlem Hamilton Heights Garden Apartment,111663504,27092,69,296,150,Entire home/apt,1
27094,UES luxurious Penthouse with huge private terrace,9554878,27093,9,361,589,Entire home/apt,1
27095,Charming Grand Central Two Bedroom (2F),37487997,27094,1,177,138,Entire home/apt,1
27096,"Small, quiet, and clean 1BR in Manhattan",100970377,27095,3,365,200,Entire home/apt,1
27097,Private Brownstone  Basement Studio Seasonal Space,134946389,27096,46,295,50,Entire home/apt,5
27098,Cozy in Bedstuy,8112941,27097,40,295,65,Private room,3
27099,The Stockholm Suite (2 min to subway),155400834,27098,82,230,245,Entire home/apt,1
27100,Large One-Bedroom Apartment on Quiet Street,45658261,27099,7,365,100,Entire home/apt,1
27101,Peaceful Artist's Room in Williamsburg,13081524,27100,48,352,60,Private room,1
27102,Large one-bedroom in Bushwick with Cleo the Cat,2545414,27101,10,354,89,Entire home/apt,1
27103,Washington Heights Renovated Bedroom,66830803,27102,4,365,51,Private room,1
27104,Good Deal! Don't Miss Out!,134428157,27103,12,365,150,Entire home/apt,7
27105,Peaceful and Spacious ENTIRE Sunlit Apartment,8621271,27104,20,365,110,Entire home/apt,1
27106,Columbus Circle Studio,154346156,27105,1,365,230,Entire home/apt,1
27107,☆☆☆Cosy Bedroom in The Heart of the City☆☆☆,126168966,27106,52,206,119,Private room,3
27108,Great Finding! 3 stops away from Manhattan,134428157,27107,1,365,44,Private room,7
27109,Loft off Jefferson L,3039349,27108,34,353,80,Private room,1
27110,Exquisitely clean and beautiful UES apt home.,59405516,27109,15,211,233,Entire home/apt,2
27111,"Harlem Tree House, only 15 minutes to Midtown!",12762193,27110,10,365,150,Entire home/apt,1
27112,Studio Apartment in Williamsburg,29110524,27111,0,365,115,Entire home/apt,1
27113,BIG Sunny Space by Prospect Park,50903933,27112,2,365,60,Private room,1
27114,Private Bedroom and Bathroom in doorman building.,69108572,27113,0,365,150,Private room,1
27115,Cozy private entrance bedroom with key and lock!,11452850,27114,3,365,70,Private room,1
27116,Upper East Side Oasis,59405516,27115,11,303,75,Private room,2
27117,Quiet Brooklyn 1 BR,10456843,27116,22,364,109,Entire home/apt,1
27118,Room for two in the heart of Brooklyn!,155647922,27117,74,299,65,Private room,1
27119,The Oasis 2,33106693,27118,2,277,210,Entire home/apt,3
27120,Private Room in Convenient Midtown East Location,121809482,27119,25,365,145,Private room,2
27121,Private Room /  Netflix + HULU Live TV in a 2 Bath,55858529,27120,101,357,40,Private room,3
27122,Exposed brick 1BR apartment in upper Manhattan,21341524,27121,3,324,180,Entire home/apt,1
27123,Comfy queen bed in a private room near LGA Airport,155691570,27122,76,365,40,Private room,5
27124,Spacious WA Heights Apt Next to Subway,13010274,27123,0,365,75,Shared room,1
27125,B) Comfy Full Bed Wifi near JFK Airport Subway,154128335,27124,119,136,40,Private room,4
27126,"manhattan studio near chelsea,highline, whitney",7390361,27125,6,365,128,Entire home/apt,1
27127,Homey Harlem Home,3917130,27126,0,365,36,Private room,1
27128,"Spacious, sun-soaked 1-br in Clinton Hill/Bedstuy",3000089,27127,16,359,85,Entire home/apt,1
27129,MODERN STYLISH PENTHOUSE SUITE @ CENTRAL PARK,6945444,27128,62,273,173,Entire home/apt,1
27130,ENTIRE HOME. BEAUTIFUL 1 BEDROOM APT IN GREENPOINT,1285768,27129,2,324,150,Entire home/apt,1
27131,Brooklyn Townhouse w Large Garden!,2350011,27130,5,365,200,Entire home/apt,1
27132,GloRia's Pod,155791040,27131,64,9,98,Entire home/apt,1
27133,Bright bedroom. Easy access to Manhattan,62888101,27132,32,279,69,Private room,1
27134,Large Bed-Stuy Apartment,45697749,27133,4,365,142,Entire home/apt,2
27135,"Stylish, cozy 1BR in Upper West Manhattan",8687478,27134,1,365,180,Entire home/apt,1
27136,A Peaceful Nest in Williamsburg,3249409,27135,45,352,150,Entire home/apt,1
27137,Discounted for Summer - Close to Everything,155810605,27136,83,325,100,Private room,2
27138,Private garden studio in Brooklyn,10525934,27137,13,365,125,Entire home/apt,1
27139,"Williamsburg apartment, beautiful rooftop & more",9427815,27138,1,365,175,Entire home/apt,1
27140,ｳｨﾘｱﾑｽﾞﾊﾞｰｸﾞのかわいいお部屋です2,145285876,27139,3,365,66,Private room,2
27141,"Privet bedroom. Super clean, 10 min from Times Sq",13878635,27140,9,277,150,Private room,2
27142,Comfy & Quiet Private Room w/ Netflix in NY!,916804,27141,83,339,79,Private room,1
27143,Clean private room with double bed,145285876,27142,1,365,66,Private room,2
27144,Speakeasy Inn Bushwick One,24020292,27143,89,307,85,Private room,4
27145,1BR APT in Morningside Heights,5057804,27144,16,340,125,Entire home/apt,1
27146,DLKLC Residence,112176279,27145,0,365,89,Private room,1
27147,Beautiful Brooklyn Brownstone,155885449,27146,7,365,105,Entire home/apt,1
27148,"Cozy, fun, and close to everything",739592,27147,0,365,120,Private room,1
27149,great location for low price,61696564,27148,1,365,56,Shared room,2
27150,Sunny & Gorgeous master bedroom  by central park,115228513,27149,83,0,129,Private room,2
27151,Sky Light Studio Chelsea,1358567,27150,6,345,180,Entire home/apt,1
27152,Sunny Living Room with Comfortable Futon,3038856,27151,0,365,35,Shared room,3
27153,Sweet Home in the Heart of Manhattan,16301391,27152,9,365,130,Private room,1
27154,Charming Cozy Bedroom in Bushwick art house,155923396,27153,22,336,35,Private room,3
27155,Charming Bushwick Shared Space,155923396,27154,35,362,25,Private room,3
27156,Studio Apartment Available over Thanksgiving,17592183,27155,1,365,150,Entire home/apt,1
27157,Water Front Building - Bright/Luxury 1 BR,92183983,27156,17,365,120,Entire home/apt,1
27158,Cozy Room in the Heart of Williamsburg,14278133,27157,7,365,60,Private room,3
27159,FourTwin bunkbeds- 5 minutes from JFK,114975592,27158,2,281,90,Private room,4
27160,"Luxury, Zen 1BR in N Williamsburg",2823757,27159,4,365,109,Entire home/apt,1
27161,Cozy Room in the Heart of NYC,31154454,27160,119,362,70,Private room,2
27162,Over-sized studio in UnionSquare/EastVillage!,15894157,27161,27,358,145,Entire home/apt,1
27163,Must Love Dogs and Tribeca NYC,155944475,27162,0,365,200,Private room,1
27164,East Village Artsy ONE-BEDROOOM ENTIRE APT,51547093,27163,1,365,225,Entire home/apt,2
27165,Studio with Private Terrace on Central Park West,2628354,27164,5,365,200,Entire home/apt,1
27166,Douglaston (apt 2) Room 3,18996093,27165,9,113,40,Private room,5
27167,LAVISHING COMFORT  IN BROOKLYN BROWNSTONE NYC,2015914,27166,2,0,75,Private room,8
27168,"Single Cabins (Chelsea, Manhattan, NYC)",117365574,27167,113,73,85,Private room,5
27169,Bright Classic DUMBO Loft,6243641,27168,1,365,145,Entire home/apt,1
27170,Entire 1 bed Apt by Central/Morningside Park,12216173,27169,21,363,150,Entire home/apt,1
27171,Entire Apartment in Brooklyn Brownstone,6357428,27170,3,365,100,Entire home/apt,1
27172,Luxury Apt - 10 mins to Midtown and Williamsburg,16445934,27171,2,365,100,Entire home/apt,1
27173,Sleek and Modern Brooklyn Apartment,155990761,27172,35,365,42,Private room,1
27174,Adorable Upper East Side 1br,1607289,27173,1,365,299,Entire home/apt,1
27175,Cozy Private Room with Patio in Bed-Stuy!,66234873,27174,62,353,50,Private room,1
27176,East 63rd street 1bd Serviced Apartment,22541573,27175,1,1,200,Entire home/apt,87
27177,Cozy Brownstone Apartment in South Harlem,156047478,27176,5,170,105,Entire home/apt,2
27178,"Beautiful Room in Bushwick, Bk. (Hablo Español)",134419840,27177,5,224,60,Private room,1
27179,Large One Bedroom in NYC Brownstone,156060717,27178,33,364,175,Entire home/apt,1
27180,Oasis: Cozy Comfy,156066689,27179,79,82,114,Entire home/apt,1
27181,"Popular Place, Brooklyn",156068349,27180,0,365,62,Entire home/apt,1
27182,Elegant Studio,67072838,27181,48,38,160,Entire home/apt,1
27183,Private Bedroom in Heart of Williamsburg,16572580,27182,1,365,184,Private room,2
27184,Times Square Holiday Rental Loft!,142053,27183,37,177,299,Shared room,5
27185,Gorgeous Apartment in Literally Perfect Location,87236554,27184,39,365,103,Private room,1
27186,UES 1BR Oasis,156081840,27185,7,365,225,Entire home/apt,1
27187,Rod,128142697,27186,0,365,750,Entire home/apt,2
27188,"Fun, Stylish, 3 Bedroom Pad 20 Mins to Midtown",154741428,27187,3,365,249,Entire home/apt,1
27189,Cozy  New Yorkers home away from home,152622375,27188,27,214,75,Entire home/apt,2
27190,Large One Bedroom Apartment near Grand Central,26138840,27189,1,365,175,Entire home/apt,1
27191,Trendy and Comfortable Brooklyn Abode,18218495,27190,11,277,58,Private room,1
27192,"Gorgeous, bright one-bed in amazing location",105340458,27191,8,365,250,Entire home/apt,1
27193,Clean & Cozy Downtown Manhattan Studio,26749889,27192,4,365,110,Entire home/apt,1
27194,A walk away from the best in Williamsburg,56391145,27193,0,365,150,Entire home/apt,2
27195,BRIGHT SUNNY LOFT,56411266,27194,0,365,60,Private room,1
27196,Diamond Peach,19708200,27195,65,60,65,Entire home/apt,3
27197,Bronx room near mall,66807235,27196,0,275,60,Private room,1
27198,Private Crown Heights Brooklyn/Sterling 2/5 Trains,2230419,27197,27,365,80,Private room,1
27199,Room in Brownstone (Now Available),156175292,27198,4,331,25,Private room,1
27200,Brooklyn's Finest 1BR APT in BedStuy/Clinton Hill,51729061,27199,17,365,150,Entire home/apt,1
27201,Sunny and cozy Upper West Side Apartment,8132596,27200,34,365,170,Entire home/apt,1
27202,"Cozy, Private Guest Suite Near JFK, LGA & NYC",138235784,27201,29,140,70,Entire home/apt,2
27203,Authentic Brklyn Experience - Room A,156042211,27202,8,328,65,Private room,4
27204,Classy Modern 2 Beds for 2 People-Staten Island NY,99202586,27203,4,10,55,Private room,5
27205,Beautiful Prime Soho/Nolita 2-Bed Apartment,156214681,27204,87,70,550,Entire home/apt,1
27206,.,156216145,27205,0,365,215,Entire home/apt,1
27207,Quaint Retreat live like a local 2,975030,27206,36,112,90,Entire home/apt,1
27208,LOLA'S NEST-One Bedroom apt-8 mins from NY JFK,156225107,27207,45,195,110,Entire home/apt,1
27209,Warm & Cozy,156231243,27208,0,365,30,Private room,1
27210,Newly Renovated/Historic-Landmarked Brownstone!,50332029,27209,139,324,95,Entire home/apt,1
27211,Provincial welcomes the new in revitalized Bklyn,310296,27210,45,313,35,Private room,2
27212,"20 minutes from Manhattan,separated big bedroom.",155977656,27211,34,272,70,Private room,1
27213,Beautiful apartment direct in Midtown Manhattan,156246842,27212,54,341,150,Private room,3
27214,Modern Industrial Williamsburg 1br Apt on Bedford,156249849,27213,18,353,80,Entire home/apt,1
27215,Large Center Manhattan Studio,39142433,27214,12,365,160,Entire home/apt,1
27216,Carroll Gardens getaway,102228163,27215,0,365,90,Entire home/apt,3
27217,Heart of Brooklyn Heights,3900540,27216,39,269,196,Entire home/apt,1
27218,Private Room in Industrial Apartment w/ rooftop!,42999896,27217,8,365,62,Private room,1
27219,*AMAZING AND COZY SPACE 2 MIN FROM THE SUBWAY,156259857,27218,70,39,36,Private room,3
27220,"Perfect Studio, Great location!",16255906,27219,3,365,143,Private room,1
27221,"Great Studio apt, great location in Hells Kitchen!",150687748,27220,3,365,120,Entire home/apt,1
27222,NYC Modern Luxury Apartment 15 Mins to Wall Str.,3424386,27221,7,353,129,Entire home/apt,1
27223,Private Bushwick Room in Great Location!,26804769,27222,3,365,32,Private room,1
27224,Airy Ridgewood Brownstone,70035028,27223,39,134,48,Private room,1
27225,Grand Central Gem,6459610,27224,61,339,150,Entire home/apt,1
27226,Cozy quirky 1 bed apartment in Tribeca/Soho,10972769,27225,5,365,250,Entire home/apt,1
27227,LES / Lower East Side | large room with 2 windows,156332912,27226,1,365,70,Private room,1
27228,Bedroom with terrace in the heart of Clinton Hill,16501606,27227,15,276,100,Private room,1
27229,"Sunny, peaceful room in Ridgewood/Bushwick",102599996,27228,6,365,40,Private room,1
27230,Chinatown Abode,48053679,27229,34,350,110,Entire home/apt,1
27231,UES Modern Style 1 Bedroom Near 2 Ave Subway Line,156352453,27230,41,207,200,Entire home/apt,1
27232,"Spacious, Cozy & Quiet Chelsea Designer Apartment",6374043,27231,8,112,250,Entire home/apt,1
27233,Cozy bedroom in Williamsburg apartment home!,112966930,27232,2,365,60,Private room,1
27234,Small Private Room in Big & Cozy apartment,3404840,27233,2,365,60,Private room,1
27235,GSG Inn - A totally private historic landmark inn,136214003,27234,108,46,125,Entire home/apt,1
27236,"Cozy Gated Studio Apartment, 25 min to Manhattan",15088853,27235,82,319,85,Entire home/apt,1
27237,Williamsburg high ceiling loft,2424168,27236,2,365,140,Entire home/apt,1
27238,Walk to City College & Columbia. Cheery/Clean,85370670,27237,27,205,67,Private room,1
27239,Peace of mind,156396144,27238,0,365,50,Entire home/apt,1
27240,Manhattan Club - New Years Eve,33910461,27239,0,365,300,Private room,1
27241,Amazing Location! Apartment in South Williamsburg,154239561,27240,6,58,75,Private room,2
27242,Cozy townhouse with an amazing back yard,1196023,27241,54,135,140,Entire home/apt,1
27243,Entire floor in Brooklyn Townhouse w/large patio,134516,27242,32,355,165,Entire home/apt,1
27244,West Village Bedroom in duplex apartment,118137788,27243,3,365,100,Private room,1
27245,Williamsburg 1 Bedroom Apartment - 2L,156436372,27244,2,33,100,Entire home/apt,4
27246,G4Newly Renovat Long Island City Room Private Bath,79105834,27245,64,80,55,Private room,9
27247,1 Bedroom apt in the heart of Williamsburg - 2R,156436372,27246,4,42,100,Entire home/apt,4
27248,"Organic pre-war 1BR Astoria, near MRNW trains",25553833,27247,11,365,108,Entire home/apt,1
27249,Comfortable Couch in a Great Location! Bushwick.,13917921,27248,13,0,42,Shared room,2
27250,Room in Big Apartment Available in Flatbush,14700562,27249,0,365,39,Private room,1
27251,Sunny Private Couples  Studio,5887081,27250,2,176,100,Entire home/apt,2
27252,BEST of Bushwick Brooklyn / Subway 1 blk/NYC 15min,5540379,27251,62,331,95,Entire home/apt,1
27253,Beautiful Renovated Studio in the City!,7114486,27252,20,336,140,Entire home/apt,1
27254,"Charming one-bedroom in Greenpoint, Brooklyn",1880807,27253,5,365,110,Entire home/apt,1
27255,Modern Cozy & Clean Private 3 Bedroom Mins to NYC,154088360,27254,65,144,300,Entire home/apt,2
27256,Quaint Studio Space,156490310,27255,56,301,70,Entire home/apt,1
27257,露西套房(Lucy Apt.),150835318,27256,12,194,85,Private room,1
27258,2 bedroom third floor in the heart of Brooklyn.,156535560,27257,70,360,55,Entire home/apt,1
27259,Midtown Manhattan Oasis (2-Bedroom Vacation Suite),41123114,27258,7,357,949,Private room,1
27260,Sunny master suite with huge balcony for BBQ,108157026,27259,0,365,120,Private room,1
27261,"Spacious, quiet loft close to EVERYTHING! Views!",12678346,27260,0,365,45,Shared room,1
27262,Long Island City Living,1825159,27261,54,282,125,Entire home/apt,1
27263,"** SoHo: Clean, Bright, Tatami Room",104450469,27262,2,365,80,Private room,2
27264,"【South Facing 1b1b Luxury,5th ave&time square】",156571787,27263,1,365,300,Entire home/apt,1
27265,"Cozy Quiet Clean 1BR APT in Hudson Heights, NYC!",110553561,27264,12,365,99,Entire home/apt,1
27266,DaDukes Marvel,139879568,27265,63,5,71,Private room,6
27267,Clean & quiet home on quiet block,156585195,27266,41,361,95,Entire home/apt,2
27268,Stylish 1 BD - 10 min to Manhattan & Central Park,156587568,27267,56,239,123,Entire home/apt,1
27269,Cozy Brooklyn Oasis 2,133004690,27268,70,117,80,Entire home/apt,2
27270,Refurbished Private & Pretty Apartment Near City,16514175,27269,46,197,95,Entire home/apt,5
27271,Bright and cozy studio apartment,156600754,27270,19,365,110,Entire home/apt,1
27272,"Luxury Apt, Balcony, Rooftop - 20min Central Park",3749848,27271,0,365,90,Entire home/apt,1
27273,"Cozy, quiet one bedroom in the heart of Bedstuy!",37149695,27272,1,365,100,Entire home/apt,1
27274,Great affordable room 2,42421006,27273,3,309,75,Private room,2
27275,Crown Heights Newly Renovated 3 Bedroom Apartment,88001494,27274,16,299,150,Private room,3
27276,Gorgeous East Village Luxury Apt,15508421,27275,0,246,400,Entire home/apt,1
27277,"Private comfortable bedroom in Bay Ridge, Brooklyn",69054780,27276,3,365,55,Private room,1
27278,2 Big bedrooms apartment in Brooklyn,4446647,27277,1,365,120,Entire home/apt,1
27279,True New Yorker Experience in West Village,156676400,27278,14,365,165,Entire home/apt,1
27280,"Spacious, sunny apartment near Prospect Park",1745206,27279,10,365,150,Entire home/apt,1
27281,*NEWLY RENOVATED PRIVATE ROOM*,48183551,27280,50,108,58,Private room,5
27282,AMAZING PRE-WAR 2 BR APT IN WILLIAMSBURG,605589,27281,1,205,150,Entire home/apt,1
27283,Cozy apt in Park Slope (room and private bathroom),49496312,27282,22,359,60,Private room,1
27284,Luxury Williamsburg Loft. Two blocks from Subway!,4939914,27283,3,365,250,Entire home/apt,1
27285,"UWS Jewel, oval living room in a charming hometown",6420489,27284,16,358,315,Entire home/apt,1
27286,Cozy & Tidy Private Room at Upper West Manhattan,29021587,27285,0,365,75,Private room,1
27287,ENTIRE Apt in Williamsburg < 1 block to L train,1913749,27286,11,354,125,Entire home/apt,1
27288,JFK Comfort.5 Mins from JFK Private Bedroom & Bath,156684502,27287,403,339,80,Private room,3
27289,Charming Prvt Rm  Students/Travelers 8 min to SIUH,104812805,27288,26,50,32,Private room,8
27290,Cute studio in Ditmas Park,7229833,27289,0,365,32,Entire home/apt,1
27291,"Sunny, Peaceful Room in Southern Harlem",91747804,27290,33,326,80,Private room,1
27292,Stylish and Spacious with Convenient location,45466335,27291,67,337,69,Private room,2
27293,Large 1 Bedroom Apt - Amazing Location SoHo/Nolita,70844761,27292,7,364,200,Entire home/apt,1
27294,Summer Savings! Central Park 1BR/1Bath/UWS,156699963,27293,11,285,350,Entire home/apt,1
27295,Alluring Private Bedroom in Spacious UWS Apt,48087870,27294,27,302,150,Private room,1
27296,Cozy bedroom in Crown Heights Duplex,83585937,27295,35,191,50,Private room,2
27297,"Clean, cozy and bright room 4 mins from subway!",13400096,27296,3,365,48,Private room,3
27298,Private room in a cozy apartment,23425862,27297,0,365,49,Private room,2
27299,"Midtown-Luxury-Safe! 
Nearby UN, NYU & Bellevue.",156758470,27298,17,351,150,Shared room,1
27300,Large 1 Bedroom Apt in Times Square sleeps 4ppl,132619769,27299,21,245,230,Entire home/apt,1
27301,QUEEN ROOM IN 1500 SQ FT WBURG BALLROOM APT,2212344,27300,11,248,90,Private room,3
27302,Haute Brand New East Village Manhattan Apartment,3949502,27301,13,338,75,Private room,1
27303,"Modern, clean, NEW apt 1 block from train!",143696286,27302,23,291,89,Private room,1
27304,Bright and cozy 2bs 2bths near JFK and the city,15145474,27303,38,314,150,Entire home/apt,4
27305,Excellent Find in Fort Greene,14163033,27304,0,365,200,Entire home/apt,1
27306,Cozy private room in Astoria,155818580,27305,71,305,65,Private room,1
27307,Franklin Ave Stay,5754627,27306,9,365,94,Private room,1
27308,Modern Bedstuy brownstone 2 bedroom apartment,6441887,27307,1,365,95,Entire home/apt,2
27309,Sunny Yellow BUSHWICK apt 25min to city SLEEPS 6 !,3532263,27308,44,13,159,Entire home/apt,4
27310,Architect's duplex Apt in Historic Brooklyn,2179149,27309,3,365,150,Entire home/apt,1
27311,Cozy Red BUSHWICK  Apt 25 min to city SLEEPS 6 !!,3532263,27310,51,8,159,Entire home/apt,4
27312,Cozy Washington Heights Home,143405573,27311,1,365,80,Private room,1
27313,Gorgeous Apartment in Nolita for 4 Guests!!!,10457196,27312,1,304,190,Entire home/apt,11
27314,"Large,Bright & fully Furnished room in a 3 bdm Apt",3053519,27313,0,365,70,Private room,1
27315,"Best in Brooklyn, closest to Manhattan!!",39362787,27314,33,365,59,Private room,1
27316,Gorgeous Loft in Nolita with Elevator and Balcony!,10457196,27315,4,37,190,Entire home/apt,11
27317,Private 2 Bdrm in Heart of BedStuy (HUGE BACKYARD),73856823,27316,4,365,200,Entire home/apt,1
27318,"Private bedroom 10 min to LGA, 15 min to Manhattan",153410151,27317,129,16,69,Private room,1
27319,1 Bedroom in Williamsburg,30284592,27318,1,365,70,Private room,1
27320,Charming 1 Bedroom in the heart of New York City,42133913,27319,8,365,170,Entire home/apt,1
27321,"Really Spectacular 1 Bedroom, Great Design",61391963,27320,2,361,133,Entire home/apt,91
27322,Cozy & Spacious Room in E. Williamsburg.(with AC),85431106,27321,21,365,60,Private room,1
27323,Seasonal Exposed Brick Private Bedroom !!!,134946389,27322,15,361,50,Private room,5
27324,"Great location,near nyc airports,subway &airtrain",6271042,27323,54,82,90,Entire home/apt,1
27325,2 bedroom floor-thru in heart of Park Slope -,4058709,27324,41,146,235,Entire home/apt,2
27326,Large apartment in a doorman building on the UES,1772076,27325,7,365,59,Shared room,1
27327,Spacious & Bright Brooklyn Apartment,46723798,27326,13,364,100,Entire home/apt,1
27328,Large Skylight Private Room,131476075,27327,19,190,51,Private room,8
27329,"Charming, cozy, clean, affordable & spacious room",156843123,27328,4,1,65,Private room,1
27330,Williamsburg house - Master Bedroom,536745,27329,6,365,95,Private room,3
27331,Habitacion Privada,152089883,27330,1,2,50,Private room,1
27332,Shareroom in Midtown Manhattan 1or2 beds Available,156246842,27331,9,365,68,Shared room,3
27333,Cheery Bedroom in Brooklyn Apartment,3075854,27332,3,365,35,Private room,1
27334,A peaceful place in the heart of Inwood,67974923,27333,15,346,110,Entire home/apt,1
27335,"Bright, Spacious Private Room in Williamsburg!",8628781,27334,1,365,70,Private room,1
27336,Beautiful and spacious room next to Subway station,84491220,27335,13,55,65,Private room,1
27337,"Fabulous, Spacious Studio by CP. An Artful Retreat",32230738,27336,75,255,145,Entire home/apt,1
27338,Private Room on Ground Floor close to Everything,154965091,27337,61,270,125,Private room,4
27339,Charming Park Slope Brownstone,141933,27338,48,363,250,Entire home/apt,1
27340,Quaint and Large midtown 1Bed next to Empire state,156921633,27339,93,299,275,Entire home/apt,1
27341,Cozy Bedroom,88780960,27340,1,365,31,Private room,1
27342,Quiet Private First Floor Room with Self Check in,154965091,27341,48,291,125,Private room,4
27343,"Comfy, spacious room- Astoria.",9956828,27342,2,365,55,Private room,1
27344,Cozy room for travelers,156592177,27343,0,365,32,Private room,1
27345,"Peaceful space, 5 minutes from Barclays Center!",45874239,27344,0,365,65,Private room,1
27346,"Bright, large room with own 1/2 bath in great area",1406432,27345,38,299,75,Private room,2
27347,"STEPS TO LGA, Near CITIFIELD, JFK MANHATTAN(RM 3)",156948703,27346,191,29,65,Private room,6
27348,Cozy Apartment in Brooklyn,152532170,27347,91,141,84,Entire home/apt,1
27349,Beautiful room in spacious apartment in Manhattan,17947250,27348,20,365,90,Private room,2
27350,Spacious Apartment in Park Slope with Garden,36293942,27349,2,365,150,Entire home/apt,1
27351,Charming Apartment by Central Park & Museum Mile.,37750296,27350,81,300,185,Entire home/apt,1
27352,Quiet Room in Brooklyn Apt - Animal Friendly!,1414616,27351,10,365,47,Private room,1
27353,Central Park and Museum mile Private room 105th 2.,42783238,27352,92,365,85,Private room,2
27354,Cute Astoria bedroom - close to midtown Manhattan,156994927,27353,2,365,60,Private room,1
27355,2 bed 1 Bath Washer Dryer huge terrace,113805886,27354,2,40,200,Entire home/apt,33
27356,Full Service  Pool 1 bed Huge Terrace washer dryer,113805886,27355,2,41,160,Entire home/apt,33
27357,Seasonal Beautiful Exposed Brick Brownstone,134946389,27356,12,355,50,Private room,5
27358,Sun Drenched Williamsburg 1 BR | Prime Location,37880566,27357,17,356,107,Entire home/apt,1
27359,Amazing Room in East Village Apartment!,104775467,27358,0,365,120,Shared room,1
27360,Beautiful Brooklyn 1 bedroom apartment,114811999,27359,21,317,150,Entire home/apt,1
27361,Bushwick Oasis,3309100,27360,71,116,65,Private room,1
27362,"Large & cozy room for holidays/New year in BK,NYC",80227295,27361,1,365,40,Private room,1
27363,HUGE bedroom available in artsy Bushwick,54966810,27362,2,365,52,Private room,1
27364,Spacious & Stylish 3BR Condo Steps to the Subway!,102758330,27363,57,183,358,Entire home/apt,1
27365,Sunny Penthouse by Waterfront Park and Subway!!,69205338,27364,64,108,219,Entire home/apt,1
27366,"Your private home in Manhattan, Upper Eastside.",157038767,27365,31,357,130,Private room,1
27367,Entire NYC Apt Open Bight Clean Spacious,24052348,27366,0,365,157,Entire home/apt,4
27368,Sunlit room in Financial District luxury apartment,52976247,27367,0,365,100,Private room,1
27369,"Private Peaceful room in Flushing/Auburndale, NY",157040162,27368,37,326,48,Private room,1
27370,"STEPS TO LGA, near CITIFIELD, JFK MANHATTAN(RM #2)",156948703,27369,257,14,60,Private room,6
27371,Renovated 1 Bedroom Apartment in Williamsburg - 3R,156436372,27370,6,132,100,Entire home/apt,4
27372,Cozy and Colorful Room next the Dekalb L Stop,157056254,27371,0,365,45,Private room,1
27373,It's a Beautiful Day in Bed-Stuy!,19536596,27372,114,130,48,Private room,5
